Project,SF,SNF,FNS,NSNF,Odds Ratio,p-value,CI Lower,CI Upper
jpype-v0.6.3,0,3,1,1,0.14,0.40,0.00,5.95
jpype-v0.7,1,4,1,1,0.25,1.00,0.01,8.56
pljava-V1_4_3,6,13,3,28,4.31,0.07,0.93,19.98
pljava-V1_5_0,4,15,6,23,1.02,1.00,0.25,4.24
pljava-V1_5_0b3,0,19,0,29,1.51,1.00,0.03,79.47
pljava-V1_5_1b1,4,14,15,13,0.25,0.06,0.07,0.94
pljava-V1_5_1b2,1,20,2,29,0.73,1.00,0.06,8.55
pljava-V1_5_2,13,8,15,16,1.73,0.40,0.56,5.35
pljava-V1_5_3,5,15,5,22,1.47,0.72,0.36,5.96
pljava-rel1_5_stable-base,3,17,5,25,0.88,1.00,0.19,4.19
realm-java-v0.90.0,13,5,17,9,1.38,0.75,0.37,5.10
realm-java-v1.2.0,6,6,1,19,19.00,0.01,1.89,190.92
realm-java-v2.3.2,18,1,28,2,1.29,1.00,0.11,15.24
realm-java-v3.7.2,15,8,22,19,1.62,0.44,0.56,4.65
realm-java-v4.4.0,5,17,3,42,4.12,0.10,0.88,19.17
realm-java-v5.11.0,3,16,5,55,2.06,0.39,0.44,9.58
realm-java-v5.15.0,2,24,0,55,11.33,0.10,0.52,244.81
realm-java-v5.4.0,4,18,5,43,1.91,0.45,0.46,7.95
realm-java-v5.7.1,7,16,5,44,3.85,0.04,1.07,13.88
realm-java-v5.9.0,6,20,7,44,1.89,0.34,0.56,6.33
rocksdb-v5.0.2,18,28,29,11,0.24,0.00,0.10,0.61
rocksdb-v5.11.2,7,46,10,58,0.88,1.00,0.31,2.50
rocksdb-v5.14.3,5,48,5,65,1.35,0.74,0.37,4.94
rocksdb-v5.17.2,10,43,8,64,1.86,0.30,0.68,5.09
rocksdb-v5.18.3,16,36,27,51,0.84,0.71,0.40,1.78
rocksdb-v5.4.6,35,9,47,2,0.17,0.02,0.03,0.81
rocksdb-v5.6.2,13,30,13,37,1.23,0.82,0.50,3.06
rocksdb-v5.9.2,9,36,11,47,1.07,1.00,0.40,2.85
rocksdb-v6.1.1,9,50,3,90,5.40,0.01,1.40,20.86
rocksdb-v6.2.2,4,55,3,90,2.18,0.43,0.47,10.12
vlc-3.0.0,4,12,4,37,3.08,0.20,0.67,14.26
vlc-3.0.11,4,12,7,34,1.62,0.48,0.40,6.52
vlc-3.0.13,6,9,12,30,1.67,0.52,0.49,5.71
vlc-3.0.92,5,9,2,17,4.72,0.11,0.76,29.38
vlc-3.0.96,0,14,0,19,1.34,1.00,0.03,71.86
vlc-3.1.0,1,13,1,18,1.38,1.00,0.08,24.23
vlc-3.1.2,1,13,2,17,0.65,1.00,0.05,8.02
vlc-3.1.6,1,13,1,18,1.38,1.00,0.08,24.23
vlc-3.1.7,3,11,5,14,0.76,1.00,0.15,3.92
zstd-jni-v0.4.4,3,0,3,0,1.00,1.00,0.02,66.06
zstd-jni-v1.3.0-1,0,10,0,4,0.43,1.00,0.01,25.16
zstd-jni-v1.3.2-2,2,11,0,1,0.65,1.00,0.02,21.18
zstd-jni-v1.3.3-1,1,9,1,3,0.33,0.51,0.02,7.14
zstd-jni-v1.3.4-1,2,12,0,1,0.60,1.00,0.02,19.41
zstd-jni-v1.3.4-8,3,11,1,0,0.10,0.27,0.00,3.09
zstd-jni-v1.3.5-3,4,10,1,0,0.14,0.33,0.00,4.22
zstd-jni-v1.3.7-1,7,7,1,0,0.33,1.00,0.01,9.57
zstd-jni-v1.3.8-1,4,6,3,2,0.44,0.61,0.05,3.98
zstd-jni-v1.4.0-1,3,12,0,0,,,,
zstd-jni-v1.4.2-1,7,8,0,0,,,,
